path,blur
//Volumes/MASON_USB/new_images/D09-CLG1-FA13 (168).JPG,242.51405060280294
//Volumes/MASON_USB/new_images/D09-CLG1-FA13 (61).JPG,265.81247252998196
//Volumes/MASON_USB/new_images/D09-CLG1-FA13 (82).JPG,246.14770078646953
//Volumes/MASON_USB/new_images/D09-CLG1-WI14 (12).JPG,249.96516221947962
//Volumes/MASON_USB/new_images/D10-CAN1-FA13 (64).JPG,801.6891996677941
//Volumes/MASON_USB/new_images/D10-CAN1-FA13 (65).JPG,820.0575737692095
//Volumes/MASON_USB/new_images/D10-CAN1-FA13 (67).JPG,823.5447411820597
//Volumes/MASON_USB/new_images/D10-CAN1-FA13 (73).JPG,840.208124341313
//Volumes/MASON_USB/new_images/D10-CAN1-FA13 (97).JPG,818.4837795872173
//Volumes/MASON_USB/new_images/D10-CAN1-FA13 (98).JPG,832.4321826363151
//Volumes/MASON_USB/new_images/D10-VHC1-FA13 (53).JPG,272.01886799311245
//Volumes/MASON_USB/new_images/J01-BBS1-FA13 (15).JPG,786.9204607078537
//Volumes/MASON_USB/new_images/J01-BBS1-FA13 (16).JPG,782.2465378027684
//Volumes/MASON_USB/new_images/J01-BBS1-FA13 (45).JPG,794.031290681873
//Volumes/MASON_USB/new_images/J01-BBS1-WI14 (10).JPG,838.2890454757718
//Volumes/MASON_USB/new_images/J01-BBS1-WI14 (11).JPG,835.4299587989394
//Volumes/MASON_USB/new_images/J01-BBS1-WI14 (12).JPG,830.8573214575239
//Volumes/MASON_USB/new_images/J01-BBS1-WI14 (13).JPG,834.3288844455418
//Volumes/MASON_USB/new_images/J01-BBS1-WI14 (16).JPG,914.6032108893348
//Volumes/MASON_USB/new_images/J01-BBS1-WI14 (7).JPG,820.0908963542382
//Volumes/MASON_USB/new_images/J01-BBS1-WI14 (8).JPG,816.7954657472843
//Volumes/MASON_USB/new_images/J01-BBS1-WI14 (9).JPG,826.3341930999065
//Volumes/MASON_USB/new_images/R02-CPG1-WI14 (16).JPG,801.254968968088
//Volumes/MASON_USB/new_images/R02-CPG1-WI14 (18).JPG,862.4691156834068
//Volumes/MASON_USB/new_images/R02-CPG1-WI14 (19).JPG,1215.5337613014926
//Volumes/MASON_USB/new_images/R02-CPG1-WI14 (23).JPG,1445.2914239916095
//Volumes/MASON_USB/new_images/R03-AUP1-FA13 (65).JPG,788.7464201516469
//Volumes/MASON_USB/new_images/R03-AUP1-FA13 (83).JPG,819.1786679374452
//Volumes/MASON_USB/new_images/R03-AUP1-FA13 (85).JPG,835.3570951514132
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (1190).JPG,797.9149146446999
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (1191).JPG,799.0314714776819
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (18).JPG,799.7923956222187
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (19).JPG,794.1835155038797
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (20).JPG,795.9546759127956
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (200).JPG,820.7238437416017
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (21).JPG,797.9073980399909
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (22).JPG,781.6529557498175
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (23).JPG,790.4578756174949
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (26).JPG,802.2989275766021
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (436).JPG,820.6079084753787
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (437).JPG,836.9433781029973
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (561).JPG,805.1791954108184
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (597).JPG,801.9772396813469
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (598).JPG,807.6389440468812
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (599).JPG,808.6712653635171
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (813).JPG,808.4834408256572
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (814).JPG,798.4027043472105
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (873).JPG,802.4776652431218
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (901).JPG,792.4901931734437
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (902).JPG,800.2258465057188
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (903).JPG,794.8108089147224
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (904).JPG,799.9833916293292
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (906).JPG,801.1183563055868
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (907).JPG,795.9498817955504
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (908).JPG,788.5017035516379
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (909).JPG,810.8429174870848
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (910).JPG,791.6241602564604
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (911).JPG,792.449892549754
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (912).JPG,812.2449780290355
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (915).JPG,770.7989483846558
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (931).JPG,817.7679069973592
//Volumes/MASON_USB/new_images/R03-CPG1-FA13 (932).JPG,816.3104978460332
//Volumes/MASON_USB/new_images/R04-MMW2-FA13 (19).JPG,259.3239843658695
//Volumes/MASON_USB/new_images/R05-FMG1-FA13 (14).JPG,269.5235036394759
//Volumes/MASON_USB/new_images/R05-FMG1-FA13 (15).JPG,270.85437997604186
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (14).JPG,283.4450378753814
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (15).JPG,289.4080965176049
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (16).JPG,287.94580855555137
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (19).JPG,335.40985651394584
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (20).JPG,488.34577243109305
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (35).JPG,291.05628424127065
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (36).JPG,334.89053266802523
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (37).JPG,326.28859275614246
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (38).JPG,300.90248444388897
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (40).JPG,465.86137077415964
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (42).JPG,287.2958958961337
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (43).JPG,288.9972698407393
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (44).JPG,293.46267150216465
//Volumes/MASON_USB/new_images/R05-MTC1-FA13 (45).JPG,294.47521241436505
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (10).JPG,221.99093610806585
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (12).JPG,206.26424081634886
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (13).JPG,219.48585747508926
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (14).JPG,211.37660363144593
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (18).JPG,569.2500609924671
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (19).JPG,206.84106266167316
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (21).JPG,221.5225555312904
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (22).JPG,216.509616666544
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (30).JPG,201.57838636895332
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (31).JPG,219.6499528177395
//Volumes/MASON_USB/new_images/R05-MTC1-WI14 (33).JPG,205.33728837358524
//Volumes/MASON_USB/new_images/R06-OTB1-FA13 (107).JPG,239.07608699247606
//Volumes/MASON_USB/new_images/R06-OTB1-FA13 (108).JPG,241.46647130076724
//Volumes/MASON_USB/new_images/R06-OTB1-FA13 (22).JPG,204.4812246570089
//Volumes/MASON_USB/new_images/R06-OTB1-FA13 (23).JPG,205.4019573521527
//Volumes/MASON_USB/new_images/R06-OTB1-FA13 (233).JPG,237.85432563031088
//Volumes/MASON_USB/new_images/R06-OTB1-FA13 (24).JPG,204.00357577390704
