"SurveyID","PictureDate","canids","mammals"
"D02-HUP0-SP13",2013-04-17,1,2
"D02-HUP0-SP13",2013-04-18,0,0
"D02-HUP0-SP13",2013-04-19,0,0
"D02-HUP0-SP13",2013-04-20,28,28
"D02-HUP0-SP13",2013-04-21,23,25
"D02-HUP0-SP13",2013-04-22,9,9
"D02-HUP0-SP13",2013-04-23,0,0
"D02-HUP0-SP13",2013-04-24,1,1
"D02-HUP0-SP13",2013-04-25,2,2
"D02-HUP0-SP13",2013-04-26,1,2
"D02-HUP0-SP13",2013-04-27,0,1
"D02-HUP0-SP13",2013-04-28,0,0
"D02-HUP0-SP13",2013-04-29,4,16
"D02-HUP0-SP13",2013-04-30,0,0
"D02-HUP0-SP13",2013-05-01,0,0
"D02-HUP0-SP13",2013-05-02,0,0
"D02-HUP0-SP13",2013-05-03,1,1
"D02-HUP0-SP13",2013-05-04,0,0
"D02-HUP0-SP13",2013-05-05,0,0
"D02-HUP0-SP13",2013-05-06,0,0
"D02-HUP0-SP13",2013-05-07,0,0
"D02-HUP0-SP13",2013-05-08,0,0
"D02-HUP0-SU11",2011-07-12,0,0
"D02-HUP0-SU11",2011-07-14,0,0
"D02-HUP0-SU11",2011-07-15,1,2
"D02-HUP0-SU11",2011-07-16,1,1
"D02-HUP0-SU11",2011-07-17,0,2
"D02-HUP0-SU11",2011-07-18,0,1
"D02-HUP0-SU11",2011-07-19,1,1
"D02-HUP0-SU11",2011-07-22,1,1
"D02-HUP0-SU11",2011-07-23,1,1
"D02-HUP0-SU11",2011-07-24,0,0
"D02-HUP0-SU11",2011-07-25,0,1
"D02-HUP0-SU11",2011-07-26,0,0
"D02-HUP0-SU11",2011-07-29,0,0
"D02-HUP0-SU11",2011-07-30,0,0
"D02-HUP0-SU11",2011-07-31,2,2
"D02-HUP0-SU11",2011-08-01,1,1
"D02-HUP0-SU11",2011-08-02,0,0
"D02-HUP0-SU11",2011-08-03,1,1
"D02-HUP0-SU11",2011-08-04,0,0
"D02-HUP0-SU11",2011-08-05,1,1
"D02-HUP0-SU11",2011-08-07,0,0
"D02-HUP0-SU11",2011-08-08,0,0
"D02-HUP0-SU11",2011-08-09,0,0
"D02-HUP0-SU12",2012-07-10,0,0
"D02-HUP0-SU12",2012-07-11,0,1
"D02-HUP0-SU12",2012-07-12,1,1
"D02-HUP0-SU12",2012-07-26,0,0
"D02-HUP0-SU12",2012-07-27,0,0
"D02-HUP0-SU12",2012-07-28,0,0
"D02-HUP0-SU12",2012-07-29,0,0
"D02-HUP0-SU12",2012-07-30,0,0
"D02-HUP0-SU12",2012-07-31,0,0
"D02-HUP0-SU12",2012-08-02,0,1
"D02-HUP0-SU12",2012-08-03,0,0
"D02-HUP0-SU12",2012-08-04,0,0
"D02-HUP0-SU12",2012-08-05,0,0
